ID,Title,Description,Type,Rate Type
1074,Premier 12,With this plan you enjoy the convenience of e-billing and auto pay! Enjoy peace of mind with a 12-month fixed rate plan.,Electricity,Fixed
1074,Premier 12,With this plan you enjoy the convenience of e-billing and auto pay! Enjoy peace of mind with a 12-month fixed rate plan.,Electricity,Fixed
1074,Premier 12,With this plan you enjoy the convenience of e-billing and auto pay! Enjoy peace of mind with a 12-month fixed rate plan.,Electricity,Fixed
1074,Premier 12,With this plan you enjoy the convenience of e-billing and auto pay! Enjoy peace of mind with a 12-month fixed rate plan.,Electricity,Fixed
1074,Premier 12,With this plan you enjoy the convenience of e-billing and auto pay! Enjoy peace of mind with a 12-month fixed rate plan.,Electricity,Fixed
1079,Premier 12 Classic,Enjoy peace of mind with a low rate guaranteed for 12 months.,Electricity,Fixed
1079,Premier 12 Classic,Enjoy peace of mind with a low rate guaranteed for 12 months.,Electricity,Fixed
1079,Premier 12 Classic,Enjoy peace of mind with a low rate guaranteed for 12 months.,Electricity,Fixed
1079,Premier 12 Classic,Enjoy peace of mind with a low rate guaranteed for 12 months.,Electricity,Fixed
1079,Premier 12 Classic,Enjoy peace of mind with a low rate guaranteed for 12 months.,Electricity,Fixed
1082,Super Saver 12,Special Offer for Cougar Alumni!,Electricity,Fixed
1082,Super Saver 12,Special Offer for Cougar Alumni!,Electricity,Fixed
1082,Super Saver 12,Special Offer for Cougar Alumni!,Electricity,Fixed
1082,Super Saver 12,Special Offer for Cougar Alumni!,Electricity,Fixed
1082,Super Saver 12,Special Offer for Cougar Alumni!,Electricity,Fixed
1090,PAYG Premier,No Deposit! No Credit Check! Same Day Service Available!,Electricity,Variable
1090,PAYG Premier,No Deposit! No Credit Check! Same Day Service Available!,Electricity,Variable
1090,PAYG Premier,No Deposit! No Credit Check! Same Day Service Available!,Electricity,Variable
1090,PAYG Premier,No Deposit! No Credit Check! Same Day Service Available!,Electricity,Variable
1090,PAYG Premier,No Deposit! No Credit Check! Same Day Service Available!,Electricity,Variable
1100,Power As You Go 3,No Deposit! No Credit Check! Lock in the same great rate for 3 months.,Electricity,Variable
1100,Power As You Go 3,No Deposit! No Credit Check! Lock in the same great rate for 3 months.,Electricity,Variable
1100,Power As You Go 3,No Deposit! No Credit Check! Lock in the same great rate for 3 months.,Electricity,Variable
1100,Power As You Go 3,No Deposit! No Credit Check! Lock in the same great rate for 3 months.,Electricity,Variable
1100,Power As You Go 3,No Deposit! No Credit Check! Lock in the same great rate for 3 months.,Electricity,Variable
1100,Power As You Go 3,No Deposit! No Credit Check! Lock in the same great rate for 3 months.,Electricity,Variable
1100,Power As You Go 3,No Deposit! No Credit Check! Lock in the same great rate for 3 months.,Electricity,Variable
1100,Power As You Go 3,No Deposit! No Credit Check! Lock in the same great rate for 3 months.,Electricity,Variable
1100,Power As You Go 3,No Deposit! No Credit Check! Lock in the same great rate for 3 months.,Electricity,Variable
1141,Frontier 12,Lock in a great rate for 12 months! E-billing and auto pay not required.,Electricity,Fixed
1141,Frontier 12,Lock in a great rate for 12 months! E-billing and auto pay not required.,Electricity,Fixed
1141,Frontier 12,Lock in a great rate for 12 months! E-billing and auto pay not required.,Electricity,Fixed
1141,Frontier 12,Lock in a great rate for 12 months! E-billing and auto pay not required.,Electricity,Fixed
1141,Frontier 12,Lock in a great rate for 12 months! E-billing and auto pay not required.,Electricity,Fixed
1142,Frontier 24,Lock in a great rate for 24 months! E-billing and auto pay not required.,Electricity,Fixed
1142,Frontier 24,Lock in a great rate for 24 months! E-billing and auto pay not required.,Electricity,Fixed
1142,Frontier 24,Lock in a great rate for 24 months! E-billing and auto pay not required.,Electricity,Fixed
1142,Frontier 24,Lock in a great rate for 24 months! E-billing and auto pay not required.,Electricity,Fixed
1142,Frontier 24,Lock in a great rate for 24 months! E-billing and auto pay not required.,Electricity,Fixed
1151,Platinum 12,Enjoy piece of mind with a low rate guaranteed for 12 months.,Electricity,Fixed
1151,Platinum 12,Enjoy piece of mind with a low rate guaranteed for 12 months.,Electricity,Fixed
1151,Platinum 12,Enjoy piece of mind with a low rate guaranteed for 12 months.,Electricity,Fixed
1151,Platinum 12,Enjoy piece of mind with a low rate guaranteed for 12 months.,Electricity,Fixed
1151,Platinum 12,Enjoy piece of mind with a low rate guaranteed for 12 months.,Electricity,Fixed
1152,Platinum 24,Enjoy piece of mind with a low rate guaranteed for 24 months.,Electricity,Fixed
1152,Platinum 24,Enjoy piece of mind with a low rate guaranteed for 24 months.,Electricity,Fixed
1152,Platinum 24,Enjoy piece of mind with a low rate guaranteed for 24 months.,Electricity,Fixed
1152,Platinum 24,Enjoy piece of mind with a low rate guaranteed for 24 months.,Electricity,Fixed
1152,Platinum 24,Enjoy piece of mind with a low rate guaranteed for 24 months.,Electricity,Fixed
1174,Check Free 12,No credit check is required and you'll receive the same low rate for 12 months.,Electricity,Fixed
1174,Check Free 12,No credit check is required and you'll receive the same low rate for 12 months.,Electricity,Fixed
1174,Check Free 12,No credit check is required and you'll receive the same low rate for 12 months.,Electricity,Fixed
1174,Check Free 12,No credit check is required and you'll receive the same low rate for 12 months.,Electricity,Fixed
1174,Check Free 12,No credit check is required and you'll receive the same low rate for 12 months.,Electricity,Fixed
1184,Power As You Go VIP,•	No Credit Check <br> •	No Deposit <br> •	Contract Term <br> •	No Account Set Up Fee,Electricity,Fixed
1184,Power As You Go VIP,•	No Credit Check <br> •	No Deposit <br> •	Contract Term <br> •	No Account Set Up Fee,Electricity,Fixed
1184,Power As You Go VIP,•	No Credit Check <br> •	No Deposit <br> •	Contract Term <br> •	No Account Set Up Fee,Electricity,Fixed
1184,Power As You Go VIP,•	No Credit Check <br> •	No Deposit <br> •	Contract Term <br> •	No Account Set Up Fee,Electricity,Fixed
1184,Power As You Go VIP,•	No Credit Check <br> •	No Deposit <br> •	Contract Term <br> •	No Account Set Up Fee,Electricity,Fixed
1291,Preferred 12,,Electricity,Fixed
1291,Preferred 12,,Electricity,Fixed
1291,Preferred 12,,Electricity,Fixed
1291,Preferred 12,,Electricity,Fixed
1291,Preferred 12,,Electricity,Fixed
1292,Preferred 24,,Electricity,Fixed
1292,Preferred 24,,Electricity,Fixed
1292,Preferred 24,,Electricity,Fixed
1292,Preferred 24,,Electricity,Fixed
1292,Preferred 24,,Electricity,Fixed
1369,Accident Forgiveness,"•	No Credit Check, No Deposit <br> •	No Contract Term <br> •	100% Green product <br> •	No Disconnection Fee",Electricity,Fixed
1369,Accident Forgiveness,"•	No Credit Check, No Deposit <br> •	No Contract Term <br> •	100% Green product <br> •	No Disconnection Fee",Electricity,Fixed
1369,Accident Forgiveness,"•	No Credit Check, No Deposit <br> •	No Contract Term <br> •	100% Green product <br> •	No Disconnection Fee",Electricity,Fixed
1369,Accident Forgiveness,"•	No Credit Check, No Deposit <br> •	No Contract Term <br> •	100% Green product <br> •	No Disconnection Fee",Electricity,Fixed
1369,Accident Forgiveness,"•	No Credit Check, No Deposit <br> •	No Contract Term <br> •	100% Green product <br> •	No Disconnection Fee",Electricity,Fixed
1371,Fantastic 12 Green,•	Monthly Base Charge: $5.95 <br> •	Plan Term: 12 Months<br> Includes all TDU Charges,Electricity,Fixed
1371,Fantastic 12 Green,•	Monthly Base Charge: $5.95 <br> •	Plan Term: 12 Months<br> Includes all TDU Charges,Electricity,Fixed
1371,Fantastic 12 Green,•	Monthly Base Charge: $5.95 <br> •	Plan Term: 12 Months<br> Includes all TDU Charges,Electricity,Fixed
1371,Fantastic 12 Green,•	Monthly Base Charge: $5.95 <br> •	Plan Term: 12 Months<br> Includes all TDU Charges,Electricity,Fixed
1371,Fantastic 12 Green,•	Monthly Base Charge: $5.95 <br> •	Plan Term: 12 Months<br> Includes all TDU Charges,Electricity,Fixed
1372,Fantastic 24 Green,•	Monthly Base Charge: $5.95 <br> •	Plan Term: 24 Months<br> Includes all TDU Charges,Electricity,Fixed
1372,Fantastic 24 Green,•	Monthly Base Charge: $5.95 <br> •	Plan Term: 24 Months<br> Includes all TDU Charges,Electricity,Fixed
1372,Fantastic 24 Green,•	Monthly Base Charge: $5.95 <br> •	Plan Term: 24 Months<br> Includes all TDU Charges,Electricity,Fixed
1372,Fantastic 24 Green,•	Monthly Base Charge: $5.95 <br> •	Plan Term: 24 Months<br> Includes all TDU Charges,Electricity,Fixed
1372,Fantastic 24 Green,•	Monthly Base Charge: $5.95 <br> •	Plan Term: 24 Months<br> Includes all TDU Charges,Electricity,Fixed
